stop_id,stop_name,stop_lat,stop_lon
0003_001,青葉二丁目,,
0003_002,青葉二丁目,,
0004_001,赤坂,,
0004_002,赤坂,,
0005_001,赤畑,,
0005_002,赤畑,,
0007_001,明戸,,
0007_002,明戸,,
0008_001,旭ヶ丘営業所,,
0008_099,旭ヶ丘営業所,,
0009_001,旭ヶ丘団地,,
0010_001,旭ヶ丘西口,,
0010_002,旭ヶ丘西口,,
0011_001,旭ヶ丘東口（国道45号側）,,
0011_002,旭ヶ丘東口（国道45号側）,,
0011_003,旭ヶ丘東口（桜ヶ丘側）,,
0012_001,旭ヶ丘四丁目,,
0012_002,旭ヶ丘四丁目,,
0012_099,旭ヶ丘四丁目,,
0013_001,荒町,,
0013_099,荒町,,
0014_001,石手洗団地前（梨子ノ木平側）,,
0014_002,石手洗団地前（梨子ノ木平側）,,
0014_003,石手洗団地前（松ヶ崎側）,,
0015_001,石堂,,
0015_002,石堂,,
0016_001,石堂二丁目,,
0016_002,石堂二丁目,,
0020_001,市川,,
0020_002,市川,,
0021_001,市川後,,
0021_002,市川後,,
0022_001,市川中学校前,,
0022_002,市川中学校前,,
0023_001,市川変電所（三菱製紙側）,,
0023_002,市川変電所（三菱製紙側）,,
0023_003,市川変電所（桔梗野工業団地側）,,
0024_001,一番町,,
0024_002,一番町,,
0025_001,一中前,,
0025_002,一中前,,
0026_001,岩ノ沢,,
0026_002,岩ノ沢,,
0027_001,岩淵通,,
0027_002,岩淵通,,
0028_001,姥懐,,
0029_001,浦町,,
0030_001,ＮＴＴ前,,
0030_002,ＮＴＴ前,,
0030_101,ＮＴＴ前（朝市）,,
0030_102,ＮＴＴ前（朝市）,,
0031_001,扇ヶ浦,,
0032_001,大久喜,,
0033_001,大久保,,
0034_001,大久保通,,
0034_002,大久保通,,
0035_001,大沢,,
0035_002,大沢,,
0038_001,大杉平バスセンター（待合室前）,,
0038_002,大杉平バスセンター（道路側）,,
0038_099,大杉平バスセンター,,
0039_001,大館中学校前,,
